,Ticker,Quarter & Year,Trading Volume 7 Day Average Prior to Call Date,Gross Margin ,Revenue (E8),Release Date,Stock Price on Release Date ,Call Date,Stock Price on Call Date,Stock Price Delta Between Dates,EPS Basic & Diluted,Revenue Delta,Gross Margin Delta,Trading Volume Delta,Beta Value at Call Date,"Rating Score (avg. - ROE, DCF, ROA)",Market Cap,Common Shares Outstanding at Call Date,VX,Polarity Mean,Postive/Negative + Neutral,Strong Polarity Count (>=0.8),Subjectivity ,Weak Polarity Count (>=-0.2)
,XOM,2016 Q3,"16,913,500",20.39%,586.77,9/30/16,87.29,10/28/16,87.28,-0.01%,0.63,117.12%,-2%,53%,0.8623,3,3.64656E+11,4178000000,sentiment,0.07,60.00%,0,41.60%,5
,WWW,2016 Q3,"3,289,588",38.34%,5.035,9/30/16,23.02,10/18/16,21.26,-7.65%,0.27,-15.93%,0%,17%,0.6838,3.67,2231607000,104967403.6,sentiment,0.11825,95.50%,1,41.10%,6
2016 Q4 ,TSLA,2016 Q4 ,"39,045,096",22.84%,22.84631,12/31/16,42.73,2/23/17,51.19,19.80%,-2.065,-0.60%,-2%,42%,1.269,3.33,7.18421E+11,14034398515,sentiment,0.108847,71.80%,0,51.20%,4
,CAKE,2016 Q4 ,"1,076,291",19.77%,4.68428,12/31/16,59.61,2/23/17,61.18,2.63%,2.83,-32.57%,0%,-8%,0.2104,3,3010056000,49200000,sentiment,0.0788,54.70%,0,36.80%,3
,XOM,2016 Q4 ,"13,111,000",21.37%,1086.63,12/31/16,90.27,1/31/17,83.89,-7.07%,-2.19,85.19%,5%,-22%,0.8839,4,3.76745E+11,4490943378,sentiment,0.0835,60.70%,0,39.80%,12
,WWW,2016 Q4 ,"1,254,892",38.46%,8.298,12/31/16,21.95,2/22/17,25.25,15.03%,0.21,64.81%,0%,-62%,0.7083,3.67,2072080000,82062574.26,sentiment,0.13387,97.80%,3,43.70%,6
2017 Q1 ,TSLA,2017 Q1 ,"34,138,672",23.57%,26.9627,3/31/17,55.66,5/4/17,59.02,6.04%,-2.04,18.02%,3%,-13%,1.071,3.33,7.71041E+11,13064060657,sentiment,0.12176,92.10%,0,5.10%,4
,CAKE,2017 Q1 ,"1,414,567",19.56%,5.63426,3/31/17,63.36,5/4/17,62.59,-1.22%,0.71,20.28%,-1%,31%,0.2858,3,3079428000,49200000,sentiment,0.1089,98.60%,1,41.90%,6
,XOM,2017 Q1 ,"10,323,000",22.33%,632.87,3/31/17,82.01,4/28/17,81.65,-0.44%,0.95,41.76%,4%,-21%,0.8923,3,3.46328E+11,4241619473,sentiment,0.0816,69.90%,1,38.60%,4
,WWW,2017 Q1 ,"3,561,761",38.50%,5.913,3/31/17,24.97,5/10/17,26.04,4.29%,0.17,-28.74%,0%,184%,0.877,3.33,2397120000,92055299.54,sentiment,0.1262,95.60%,0,43.20%,4
2017 Q2 ,TSLA,2017 Q2 ,"43,030,254",23.91%,27.89557,6/30/17,72.32,8/3/17,69.41,-4.02%,-2.03,3.46%,1%,26%,1.055,3,8.14098E+11,11728825962,sentiment,0.0995,69.70%,2,50.20%,11
,CAKE,2017 Q2 ,"1,927,249",19.29%,5.69869,6/30/17,50.3,8/3/17,44.19,-12.15%,0.78,1.14%,-1%,36%,0.3435,3,2165310000,49000000,sentiment,0.08373,63.50%,0,38.10%,4
,XOM,2017 Q2 ,"10,618,000",23.24%,628.76,6/30/17,80.72,7/28/17,79.6,-1.39%,0.78,-0.65%,4%,3%,0.8136,3,3.44798E+11,4331631030,sentiment,0.0673,52.90%,1,41.10%,10
,WWW,2017 Q2 ,"1,672,175",38.27%,-15.015,6/30/17,27.77,8/9/17,27.06,-2.56%,-0.83,-353.93%,-1%,-53%,0.9391,3.33,2694562000,99577309.68,sentiment,0.108334,87.10%,1,38.00%,4
2017 Q3,TSLA,2017 Q3,"41,766,799",20.63%,29.84675,9/30/17,68.2,11/2/17,59.85,-12.24%,-2.03,6.99%,-14%,-3%,0.9485,3,8.71482E+11,14561106767,sentiment,0.1043,61.80%,0,49.30%,6
,CAKE,2017 Q3,"2,137,991",18.73%,6.03,9/30/17,42.13,11/2/17,42.18,0.12%,1.34,5.81%,-3%,11%,0.3291,3,2121287000,50291299.19,sentiment,0.1222,65.20%,1,40.60%,3
,XOM,2017 Q3,"9,535,000",24.33%,661.65,9/30/17,81.98,10/27/17,83.71,2.11%,0.93,5.23%,5%,-10%,0.8367,3,3.50137E+11,4182733007,sentiment,0.1041,74.60%,0,42.80%,9
,WWW,2017 Q3,"2,303,278",38.94%,5.813,9/30/17,28.86,11/8/17,28.02,-2.91%,0.24,138.71%,2%,38%,0.9561,3.67,2763830000,98637758.74,sentiment,0.1508,108.40%,4,43.50%,7
2017 Q4,TSLA,2017 Q4,"29,021,621",18.90%,32.88249,12/31/17,62.27,2/8/18,63.04,1.24%,-2.03,10.17%,-8%,-31%,1.013,4,8.00264E+11,12694538388,sentiment,0.109,73.50%,2,46.20%,7
,CAKE,2017 Q4,"1,522,179",18.19%,5.71,12/31/17,48.18,2/22/18,47.93,-0.52%,3.27,-5.31%,-3%,-29%,0.3744,3,2166434000,45199958.27,sentiment,0.12176,79.70%,1,38.20%,1
,XOM,2017 Q4,"13,404,000",21.83%,840,12/31/17,83.83,2/3/18,84.53,0.84%,0.09,26.96%,-10%,41%,0.8278,3,3.56976E+11,4223063055,sentiment,0.1103,68.20%,0,41.60%,13
,WWW,2017 Q4,"1,760,934",38.94%,-1.446,12/31/17,31.89,2/21/18,29.51,-7.46%,-0.09,-124.88%,0%,-24%,1.002,3.67,2920208000,98956557.1,sentiment,0.10129,89.80%,2,40.90%,9
